Gemeentecode,Provinciecode,Gemeentenaam,Provincienaam
0755,30,Boekel,Noord-Brabant
0756,30,Boxmeer,Noord-Brabant
0757,30,Boxtel,Noord-Brabant
0758,30,Breda,Noord-Brabant
1706,30,Cranendonck,Noord-Brabant
1684,30,Cuijk,Noord-Brabant
0762,30,Deurne,Noord-Brabant
0766,30,Dongen,Noord-Brabant
1719,30,Drimmelen,Noord-Brabant
0770,30,Eersel,Noord-Brabant
0772,30,Eindhoven,Noord-Brabant
0777,30,Etten-Leur,Noord-Brabant
0779,30,Geertruidenberg,Noord-Brabant
1771,30,Geldrop-Mierlo,Noord-Brabant
1652,30,Gemert-Bakel,Noord-Brabant
0784,30,Gilze en Rijen,Noord-Brabant
0785,30,Goirle,Noord-Brabant
0786,30,Grave,Noord-Brabant
0788,30,Haaren,Noord-Brabant
1655,30,Halderberge,Noord-Brabant
1658,30,Heeze-Leende,Noord-Brabant
0794,30,Helmond,Noord-Brabant
0796,30,'s-Hertogenbosch,Noord-Brabant
0797,30,Heusden,Noord-Brabant
0798,30,Hilvarenbeek,Noord-Brabant
1659,30,Laarbeek,Noord-Brabant
1685,30,Landerd,Noord-Brabant
0809,30,Loon op Zand,Noord-Brabant
0815,30,Mill en Sint Hubert,Noord-Brabant
1709,30,Moerdijk,Noord-Brabant
0820,30,"Nuenen, Gerwen en Nederwetten",Noord-Brabant
0823,30,Oirschot,Noord-Brabant
0824,30,Oisterwijk,Noord-Brabant
0826,30,Oosterhout,Noord-Brabant
0828,30,Oss,Noord-Brabant
1667,30,Reusel-De Mierden,Noord-Brabant
1674,30,Roosendaal,Noord-Brabant
0840,30,Rucphen,Noord-Brabant
0844,30,Schijndel,Noord-Brabant
1702,30,Sint Anthonis,Noord-Brabant
0845,30,Sint-Michielsgestel,Noord-Brabant
0846,30,Sint-Oedenrode,Noord-Brabant
0847,30,Someren,Noord-Brabant
0848,30,Son en Breugel,Noord-Brabant
0851,30,Steenbergen,Noord-Brabant
0855,30,Tilburg,Noord-Brabant
0856,30,Uden,Noord-Brabant
0858,30,Valkenswaard,Noord-Brabant
0860,30,Veghel,Noord-Brabant
0861,30,Veldhoven,Noord-Brabant
0865,30,Vught,Noord-Brabant
0866,30,Waalre,Noord-Brabant
0867,30,Waalwijk,Noord-Brabant
0870,30,Werkendam,Noord-Brabant
0873,30,Woensdrecht,Noord-Brabant
0874,30,Woudrichem,Noord-Brabant
0879,30,Zundert,Noord-Brabant
0888,31,Beek,Limburg
0889,31,Beesel,Limburg
0893,31,Bergen (L.),Limburg
0899,31,Brunssum,Limburg
1711,31,Echt-Susteren,Limburg
1903,31,Eijsden-Margraten,Limburg
0907,31,Gennep,Limburg
1729,31,Gulpen-Wittem,Limburg
0917,31,Heerlen,Limburg
1507,31,Horst aan de Maas,Limburg
0928,31,Kerkrade,Limburg
0882,31,Landgraaf,Limburg
1640,31,Leudal,Limburg
1641,31,Maasgouw,Limburg
0935,31,Maastricht,Limburg
0938,31,Meerssen,Limburg
0944,31,Mook en Middelaar,Limburg
0946,31,Nederweert,Limburg
0951,31,Nuth,Limburg
0881,31,Onderbanken,Limburg
1894,31,Peel en Maas,Limburg
1669,31,Roerdalen,Limburg
0957,31,Roermond,Limburg
0962,31,Schinnen,Limburg
0965,31,Simpelveld,Limburg
1883,31,Sittard-Geleen,Limburg
0971,31,Stein,Limburg
0981,31,Vaals,Limburg
0994,31,Valkenburg aan de Geul,Limburg
0983,31,Venlo,Limburg
0984,31,Venray,Limburg
0986,31,Voerendaal,Limburg
0988,31,Weert,Limburg
